lga_name,suburb,latitude,longitude
Glenelg,Tahara West,-37.7322539,141.5781151
Central Goldfields,Talbot,-37.2153546,143.6718623
Albury,Talgarno,-36.2373927,146.9661233
Towong,Tallangatta,-36.2031354,147.168985
Towong,Tallangatta East,-36.2031354,147.168985
Mitchell,Tallarook,-37.1126329,145.1155133
Greater Shepparton,Tallygaroopna,-36.2266803,145.4250118
East Gippsland,Tambo Crossing,-37.4768667,147.8026919
East Gippsland,Tamboon,-37.5621735,149.1960526
Benalla,Taminick,-36.5103613,146.1812023
Greater Shepparton,Tamleugh North,-36.6078959,145.7133909
Loddon,Tandarra,-36.3797092,144.1283863
Albury,Tangambalanga,-36.2373927,146.9661233
Baw Baw,Tanjil,-38.0474021,146.2929381
Baw Baw,Tanjil Bren,-37.7865626,146.0696009
Baw Baw,Tanjil South,-38.0474021,146.2929381
Mitchell,Tantaraboo,-37.2531649,144.9171412
Buloke,Tanwood,-37.0021242,143.2827118
Hepburn,Taradale,-37.1465105,144.3576473
Mitchell,Tarcombe,-36.7549385,145.5801757
Hepburn,Tarilta,-37.0991896,144.1938221
Campaspe,Tarnagulla,-36.8021738,144.4779988
Wyndham,Tarneit,-37.8282806,144.7082568
Benalla,Tarnook,-36.6394628,145.8690603
Corangamite,Taroon,-38.2633053,142.7455935
Wellington,Tarra Valley,-38.5613687,146.6065057
Hindmarsh,Tarranyurk,-36.314886,142.0639245
Nillumbik,Tarrawarra,-37.6158673,145.3807298
Glenelg,Tarrayoukyan,-37.4420537,141.7255991
Loddon,Tarrengower,-36.9483008,143.9759139
Moyne,Tarrone,-38.2179522,142.2337184
South Gippsland,Tarwin,-38.675332,145.8690603
South Gippsland,Tarwin Lower,-38.675332,145.8690603
Greater Shepparton,Tatura,-36.4591947,145.2038278
Greater Shepparton,Tatura East,-36.4591947,145.2038278
Ararat,Tatyoon,-37.5026752,143.0244018
Alpine,Tawonga,-36.6673311,147.168985
Alpine,Tawonga South,-36.762851,147.1351462
Mansfield,Taylor Bay,-37.3038068,145.9804173
Brimbank,Taylors Hill,-37.6940036,144.7521888
Brimbank,Taylors Lakes,-37.7024727,144.7906484
Yarra Ranges,Tecoma,-37.932935,145.3475331
Buloke,Teddywaddy,-36.0005012,143.2611514
Golden Plains,Teesdale,-38.022066,144.0630048
Moira,Telford,-36.0520717,145.8913207
West Wimmera,Telopea Downs,-36.0603124,141.095836
Manningham,Templestowe,-37.7537669,145.1486206
Manningham,Templestowe Lower,-37.7641408,145.1099967
Mildura,Tempy,-35.3151716,142.4039296
Bass Coast,Tenby Point,-38.3114378,145.5579927
Campaspe,Tennyson,-36.3147326,144.3248554
Corangamite,Terang,-38.2273268,142.8955875
Murrindindi,Terip Terip,-37.0473079,145.6023644
Buloke,Terrappee,-36.2125211,143.4338092
Loddon,Terrick Terrick,-36.0765288,144.1283863
Campaspe,Terrick Terrick East,-36.1663341,144.3904526
Colac-Otway,Tesbury,-38.1491105,143.1319209
Buloke,Thalia,-36.0005012,143.2611514
Knox,The Basin,-37.8534742,145.3198788
Corangamite,The Cove,-38.4984954,142.9385002
Bass Coast,The Gurdies,-38.3114378,145.5579927
Wellington,The Heart,-38.2064012,147.1464245
Yarra Ranges,The Patch,-37.8887708,145.3973329
Corangamite,The Sisters,-38.2633053,142.7455935
Whittlesea,Thomastown,-37.6837819,145.0107588
Greater Geelong,Thomson,-38.176358,144.3849841
Benalla,Thoona,-36.3378842,146.002705
Darebin,Thornbury,-37.7600493,145.0080039
Murrindindi,Thornton,-37.3476485,145.8245558
Baw Baw,Thorpdale,-38.2926842,146.1812023
Baw Baw,Thorpdale South,-38.2177192,146.1812023
Snowy Valleys,Thowgla Valley,-36.4104992,147.9162555
Yarra Ranges,Three Bridges,-37.8447909,145.702282
South Gippsland,Tidal River,-38.9962856,146.3376699
East Gippsland,Timbarra,-37.2938907,148.2804541
Corangamite,Timboon West,-38.4984954,142.9385002
Campaspe,Timmering,-36.3317046,144.6533747
Central Goldfields,Timor,-37.0550295,143.6935405
Wellington,Tinamba,-37.920365,146.8985944
Wellington,Tinamba West,-37.920365,146.8985944
Towong,Tintaldra,-36.0660058,147.9048938
Buloke,Tittybong,-35.6565961,143.4122052
Swan Hill,Tol Tol,-34.7552395,142.7455935
Snowy Valleys,Tom Groggin,-36.4104992,147.9162555
Campaspe,Tongala,-36.2331845,144.9832134
East Gippsland,Tonghi Creek,-37.5621735,149.1960526
East Gippsland,Tongio,-37.1819263,147.7799935
Cardinia,Tonimbuk,-38.0771825,145.7245012
Horsham,Tooan,-36.8127092,141.8100218
Mitchell,Tooborac,-37.0314398,144.7631754
Greater Shepparton,Toolamba,-36.4899607,145.325409
Greater Shepparton,Toolamba West,-36.4899607,145.325409
Murrindindi,Toolangi,-37.5848772,145.5136433
Macedon Ranges,Toolern Vale,-37.6095412,144.5875645
Campaspe,Toolleen,-36.8021738,144.4779988
Wellington,Toolome,-37.6951451,146.9661233
Glenelg,Toolong,-38.2498873,141.9822579
Latrobe (Vic.),Toongabbie,-38.0326139,146.5392256
South Gippsland,Toora,-38.6183432,146.3488562
