Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2018,December,4 Western, Mount Alexander,880,"4,509.6"
2018,December,4 Western, Moyne,530,"3,138.5"
2018,December,4 Western, Northern Grampians,988,"8,643.9"
2018,December,4 Western, Pyrenees,501,"6,813.5"
2018,December,4 Western, Queenscliffe,303,"10,161.0"
2018,December,4 Western, Southern Grampians,"1,562","9,681.4"
2018,December,4 Western, Surf Coast,"1,186","3,677.3"
2018,December,4 Western, Swan Hill,"2,526","12,167.6"
2018,December,4 Western, Warrnambool,"3,950","11,330.1"
2018,December,4 Western, West Wimmera,166,"4,298.3"
2018,December,4 Western, Yarriambiack,503,"7,554.8"
2018,December,4 Western,Total,"83,771","8,411.3"
2018,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,833",
2018,December,Justice Institutions and Immigration Facilities,Total,"2,833",
2018,December,Unincorporated Vic, Unincorporated Vic,143,
2018,December,Unincorporated Vic,Total,143,
2017,December,1 North West Metro, Banyule,"9,657","7,479.4"
2017,December,1 North West Metro, Brimbank,"17,143","8,281.8"
2017,December,1 North West Metro, Darebin,"14,791","9,317.1"
2017,December,1 North West Metro, Hobsons Bay,"6,070","6,384.7"
2017,December,1 North West Metro, Hume,"20,218","9,393.3"
2017,December,1 North West Metro, Maribyrnong,"8,023","8,978.1"
2017,December,1 North West Metro, Melbourne,"36,463","22,912.4"
2017,December,1 North West Metro, Melton,"10,635","7,155.9"
2017,December,1 North West Metro, Moonee Valley,"8,605","6,861.4"
2017,December,1 North West Metro, Moreland,"12,748","7,203.3"
2017,December,1 North West Metro, Nillumbik,"2,325","3,598.1"
2017,December,1 North West Metro, Whittlesea,"15,580","7,223.5"
2017,December,1 North West Metro, Wyndham,"14,230","5,902.8"
2017,December,1 North West Metro, Yarra,"13,282","13,836.3"
2017,December,1 North West Metro,Total,"189,770","8,942.8"
2017,December,2 Eastern, Alpine,454,"3,592.3"
2017,December,2 Eastern, Bass Coast,"2,574","7,485.6"
2017,December,2 Eastern, Baw Baw,"3,750","7,400.0"
2017,December,2 Eastern, Benalla,"1,296","9,274.4"
2017,December,2 Eastern, Boroondara,"7,314","4,070.6"
2017,December,2 Eastern, East Gippsland,"3,965","8,594.2"
2017,December,2 Eastern, Greater Shepparton,"8,047","12,275.4"
2017,December,2 Eastern, Indigo,491,"3,006.2"
2017,December,2 Eastern, Knox,"11,280","6,970.4"
2017,December,2 Eastern, Latrobe,"13,337","17,804.5"
2017,December,2 Eastern, Manningham,"4,903","3,945.4"
2017,December,2 Eastern, Mansfield,664,"7,548.9"
2017,December,2 Eastern, Maroondah,"8,288","7,125.1"
2017,December,2 Eastern, Mitchell,"4,401","10,258.0"
2017,December,2 Eastern, Moira,"1,926","6,495.3"
2017,December,2 Eastern, Monash,"11,115","5,644.4"
2017,December,2 Eastern, Murrindindi,717,"5,037.2"
2017,December,2 Eastern, South Gippsland,"1,442","4,918.0"
2017,December,2 Eastern, Strathbogie,567,"5,408.2"
2017,December,2 Eastern, Towong,217,"3,593.3"
2017,December,2 Eastern, Wangaratta,"2,346","8,130.9"
2017,December,2 Eastern, Wellington,"3,666","8,369.7"
2017,December,2 Eastern, Whitehorse,"8,300","4,790.4"
