city_name,LGA_name,
Lake Bolac,Rural City of Ararat,
Derrinallum,Corangamite Shire,
Blackburn South,City of Whitehorse,
Mount Waverley,City of Monash,
Hamlyn Heights,City of Greater Geelong,
Harcourt North,Shire of Mount Alexander,
Templestowe,City of Manningham,
Lillydale Lake,Shire of Yarra Ranges,
Ashwood,City of Monash,
Wongarra,Colac Otway Shire,
Ruffy,Shire of Strathbogie,
Rushworth,Shire of Campaspe,
Nowa Nowa,Shire of East Gippsland,
Mooroopna North,City of Greater Shepparton,
Strathdale,City of Greater Bendigo,
Lancaster,Shire of Campaspe,
Idaho,City of Greater Geelong,
Rye,Shire of Mornington Peninsula,
Hamilton City,Shire of Southern Grampians,
